                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8417,                 3.3862,                 2.0113,                0.34778,                 0.2069,                0.14766,                0.06372,                 1.7366,                 3.0733,                 1.9419,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.6868,                 2.8438,                 1.8432,                0.83173,                0.34119,                0.40044,                0.24402,                 1.2795,                 3.2959,                 1.5037,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                  1.332,                  1.854,                 1.4542,                 0.3775,                0.58621,                0.36351,                0.22894,                 1.2324,                 10.772,                 1.4286,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 1.3715,                 1.5411,                 1.4729,                0.22459,                0.37931,                0.21519,                0.13378,                 1.3415,                 8.0671,                 1.4962,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 1.2331,                 1.3781,                 1.3543,                0.28705,                0.48276,                0.36297,                0.21904,                 1.5713,                 4.0733,                 1.6864,             0.00010872,             0.00010872,             0.00010872
                      6,                 1.1181,                 1.3472,                 1.2543,                0.64808,                0.34483,                0.42857,                0.26506,                 1.6067,                 2.5063,                 1.6836,              0.0001111,              0.0001111,              0.0001111
                      7,                 1.0163,                 0.9578,                 1.2149,                0.62246,                0.51186,                0.59002,                0.36309,                 1.4846,                 2.9487,                 1.5349,             0.00010556,             0.00010556,             0.00010556
                      8,                 1.0836,                0.99622,                 1.1869,                0.60274,                0.48276,                0.59412,                0.36047,                 1.4074,                 2.6043,                 1.4866,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                0.97254,                0.78978,                 1.1545,                0.55879,                0.44828,                0.54738,                0.33286,                  1.394,                 2.5091,                 1.4797,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                0.95151,                0.79681,                 1.1751,                 0.5353,                0.43727,                0.54816,                0.33517,                 1.3561,                 2.4327,                 1.4548,              4.142e-05,              4.142e-05,              4.142e-05
